pair,sport_a,sport_b,paper_reported_accuracy_pct,paper_reported_auroc,paper_reported_f1,paper_protocol_accuracy_pct,paper_protocol_auroc,paper_protocol_f1,paper_protocol_gap_pp,paper_protocol_train_rows,paper_protocol_train_rows_after_smote,paper_protocol_test_rows,notebook_protocol_accuracy_pct,notebook_protocol_auroc,notebook_protocol_f1,notebook_protocol_gap_pp,notebook_protocol_train_rows,notebook_protocol_train_rows_after_smote,notebook_protocol_test_rows
track & field vs football,track & field,football,86.7,0.84,0.86,81.91489361702128,0.8847222222222223,0.8440366972477065,-4.785106382978725,751,858,188,83.51063829787235,0.9174768518518519,0.8584474885844748,-3.1893617021276555,751,858,188
track & field vs baseball,track & field,baseball,89.04,0.93,0.89,85.61643835616438,0.9392045454545455,0.8444444444444444,-3.423561643835626,584,644,146,89.72602739726028,0.9628787878787879,0.8837209302325582,0.6860273972602755,584,644,146
track & field vs swimming,track & field,swimming,92.16,0.89,0.87,84.15841584158416,0.8875000000000001,0.6363636363636364,-8.001584158415838,406,644,101,87.25490196078431,0.9359200470311582,0.7111111111111111,-4.905098039215687,405,642,102
track & field vs badminton,track & field,badminton,93.55,0.79,0.86,94.56521739130434,0.896875,0.782608695652174,1.015217391304347,372,644,92,95.6989247311828,0.8878600823045267,0.8181818181818182,2.1489247311828024,371,642,93
football vs baseball,football,baseball,87.28,0.88,0.87,79.88505747126436,0.8807519640852974,0.7445255474452555,-7.3949425287356405,691,858,174,84.97109826589595,0.9238176154064004,0.8,-2.3089017341040545,692,860,173
football vs swimming,football,swimming,91.47,0.92,0.86,91.47286821705426,0.9369488536155204,0.717948717948718,0.002868217054256661,513,858,129,93.02325581395348,0.9506172839506173,0.8085106382978723,1.5532558139534842,513,858,129
football vs badminton,football,badminton,90.0,0.73,0.76,91.66666666666666,0.8040123456790124,0.5,1.6666666666666572,479,858,120,87.5,0.7785493827160493,0.4444444444444444,-2.5,479,858,120
baseball vs swimming,baseball,swimming,91.95,0.94,0.98,89.65517241379311,0.922077922077922,0.7567567567567568,-2.2948275862068925,346,524,87,91.95402298850574,0.9862914862914862,0.8292682926829268,0.004022988505738567,346,524,87
baseball vs badminton,baseball,badminton,91.03,0.91,0.82,88.46153846153845,0.9671717171717171,0.6896551724137931,-2.5684615384615483,312,524,78,87.17948717948718,0.9558080808080808,0.6428571428571429,-3.8505128205128187,312,524,78
swimming vs badminton,swimming,badminton,88.28,0.74,0.8,84.84848484848484,0.9444444444444444,0.8148148148148148,-3.431515151515157,134,168,33,91.17647058823529,0.9047619047619049,0.8888888888888888,2.896470588235289,133,168,34
